name,country
Eduardo Guerrero,Panama
Cecilio Waterman,Panama
Janpol Morales,Panama
Rafael Mosquera,Panama
Édgar Yoel Bárcenas,Panama
Azarias Londoño,Panama
Alberto Quintero,Panama
Aníbal Godoy,Panama
Carlos Harvey,Panama
Edward Cedeño,Panama
Amir Murillo,Panama
Edgardo Fariña,Panama
Jiovany Ramos,Panama
Fidel Escobar,Panama
Omar Valencia,Panama
Jorge Gutiérrez,Panama
Orlando Mosquera,Panama
Luis Mejía,Panama
César Samudio,Panama
JD Gunn,Panama
Kaoru Mitoma,Japan
Daichi Kamada,Japan
Takumi Minamino,Japan
Junya Ito,Japan
Ayase Ueda,Japan
Takefusa Kubo,Japan
Ritsu Doan,Japan
Hidemasa Morita,Japan
Ao Tanaka,Japan
Hiroki Ito,Japan
Ko Itakura,Japan
Koki Machida,Japan
Seiya Maikuma,Japan
Tomoya Ando,Japan
Yuki Ito,Japan
Wataru Endo,Japan
Zion Suzuki,Japan
Keisuke Osako,Japan
Taishi Brandon Nozawa,Japan
Leo Brian Kokubo,Japan
Yohei Takaoka,Japan
Shuichi Gonda,Japan
Eiji Kawashima,Japan
Wilfried Zaha,Ivory Coast
Amad Diallo,Ivory Coast
Oumar Diakité,Ivory Coast
Evann Guessand,Ivory Coast
Bazoumana Touré,Ivory Coast
Simon Adingra,Ivory Coast
Franck Kessié,Ivory Coast
Seko Fofana,Ivory Coast
Ibrahim Sangaré,Ivory Coast
Jean Michaël Seri,Ivory Coast
Jean-Philippe Gbamin,Ivory Coast
Christ Inao Oulaï,Ivory Coast
Ousmane Diomande,Ivory Coast
Odilon Kossounou,Ivory Coast
Wilfried Singo,Ivory Coast
Emmanuel Agbadou,Ivory Coast
Christopher Opéri,Ivory Coast
Yahia Fofana,Ivory Coast
Mohamed Koné,Ivory Coast
Alban Lafont,Ivory Coast
Badra Ali Sangaré,Ivory Coast
Mehdi Taremi,Iran
Sardar Azmoun,Iran
Allahyar Sayyadmanesh,Iran
Ali Gholizadeh,Iran
Mohammad Mohebi,Iran
Mehdi Ghayedi,Iran
Ali Alipour,Iran
Saeid Ezatolahi,Iran
Saman Ghoddos,Iran
Mohammad Ghorbani,Iran
Omid Noorafkan,Iran
Javad Hosseinnezhad,Iran
Hossein Kanaani,Iran
Shoja Khalilzadeh,Iran
Majid Hosseini,Iran
Milad Mohammadi,Iran
Mohammadamin Hazbavi,Iran
Saleh Hardani,Iran
Alireza Beiranvand,Iran
Seyed Hossein Hosseini,Iran
Payam Niazmand,Iran
Mohammadreza Akhbari,Iran
Mohammed Kudus,Ghana
Kamaldeen Sulemana,Ghana
Antoine Semenyo,Ghana
Jordan Ayew,Ghana
Ernest Nuamah,Ghana
Iñaki Williams,Ghana
Brandon Thomas-Asante,Ghana
Eddie Nketiah,Ghana
Thomas Partey,Ghana
Issahaku Fatawu,Ghana
Abu Francis,Ghana
Caleb Yirenky,Ghana
Kwasi Sibo,Ghana
Christopher Bonsu Baah,Ghana
Forson Amankwah,Ghana
Majeed Ashimeru,Ghana
Elisha Owusu,Ghana
Michael Baidoo,Ghana
Mohammed Salisu,Ghana
Daniel Amartey,Ghana
Gideon Mensah,Ghana
Alidu Seidu,Ghana
Josh Acheampong,Ghana
Benjamin Asare,Ghana
Joseph Anang,Ghana
Lawrence Ati-Zigi,Ghana
Duckens Nazon,Haiti
Frantzdy Pierrot,Haiti
Fafà Picault,Haiti
Louicius Don Deedson,Haiti
Josué Casimir,Haiti
Jean-Ricner Bellegarde,Haiti
Danley Jean-Jacques,Haiti
Leverton Pierre,Haiti
Derick Etienne,Haiti
Carl Sainté,Haiti
Ricardo Adé,Haiti
Hannes Delcroix,Haiti
Jean-Kévin Duverne,Haiti
Carlens Arcus,Haiti
Garven-Michee Metusala,Haiti
Johny Placide,Haiti
Alexandre Pierre,Haiti
Josué Duverger,Haiti
Jonah Mednard,Haiti
Enner Valencia,Ecuador
Gonzalo Plata,Ecuador
John Yeboah,Ecuador
Nilson Angulo,Ecuador
Alan Minda,Ecuador
Kevin Rodríguez,Ecuador
Leonardo Campana,Ecuador
Kendry Páez,Ecuador
Pedro Vite,Ecuador
Moisés Caicedo,Ecuador
Yaimar Medina,Ecuador
Patrik Mercado,Ecuador
Piero Hincapié,Ecuador
Willian Pacho,Ecuador
Ángelo Preciado,Ecuador
Pervis Estupiñán,Ecuador
Joel Ordóñez,Ecuador
Moisés Ramírez,Ecuador
Hernán Galíndez,Ecuador
Gonzalo Valle,Ecuador
Cristhian Loor,Ecuador
Harry Kane,England
Jude Bellingham,England
Bukayo Saka,England
Phil Foden,England
Cole Palmer,England
Ollie Watkins,England
Anthony Gordon,England
Jarrod Bowen,England
Declan Rice,England
Eberechi Eze,England
Elliot Anderson,England
Morgan Rogers,England
Adam Wharton,England
Alex Scott,England
Marc Guéhi,England
John Stones,England
Jarell Quansah,England
Trevoh Chalobah,England
Ezri Konsa,England
Trent Alexander-Arnold,England
Reece James,England
Dan Burn,England
Tino Livramento,England
Jordan Pickford,England
Dean Henderson,England
James Trafford,England
Aaron Ramsdale,England
Ryan Mendes,Cape Verde
Jovane Cabral,Cape Verde
Nuno da Costa,Cape Verde
Willy Semedo,Cape Verde
Bebé,Cape Verde
Telmo Arcanjo,Cape Verde
Deroy Duarte,Cape Verde
Jamiro Monteiro,Cape Verde
Laros Duarte,Cape Verde
João Paulo,Cape Verde
Kevin Lenini,Cape Verde
Logan Costa,Cape Verde
Roberto Lopes,Cape Verde
Steven Moreira,Cape Verde
Diney Borges,Cape Verde
Wagner Pina,Cape Verde
Stopira,Cape Verde
Bruno Varela,Cape Verde
Vozinha,Cape Verde
Márcio Rosa,Cape Verde
Vinícius Júnior,Brazil
Rodrygo,Brazil
Raphinha,Brazil
Gabriel Martinelli,Brazil
Neymar,Brazil
Estêvão,Brazil
Richarlison,Brazil
Matheus Cunha,Brazil
Bruno Guimarães,Brazil
Lucas Paquetá,Brazil
Casemiro,Brazil
Andrey Santos,Brazil
Gabriel Moscardo,Brazil
Igor Jesus,Brazil
Aleksander,Brazil
Jean Lucas,Brazil
Andreas Pereira,Brazil
Marquinhos,Brazil
Gabriel Magalhães,Brazil
Éder Militão,Brazil
Beraldo,Brazil
Danilo,Brazil
Carlos Augusto,Brazil
Vanderson,Brazil
Wesley,Brazil
Alisson Becker,Brazil
Ederson,Brazil
Bento,Brazil
Hugo Souza,Brazil
Cássio,Brazil
Romelu Lukaku,Belgium
Loïs Openda,Belgium
Charles De Ketelaere,Belgium
Arthur Theate,Belgium
Timothy Castagne,Belgium
Zakaria El Ouahdi,Belgium
Joaquin Seys,Belgium
Axel Witsel,Belgium
Thomas Meunier,Belgium
Thibaut Courtois,Belgium
Maarten Vandevoordt,Belgium
Matz Sels,Belgium
Nicky Evrard,Belgium
Jamal Musiala,Germany
Florian Wirtz,Germany
Leroy Sané,Germany
Niclas Füllkrug,Germany
Kai Havertz,Germany
İlkay Gündoğan,Germany
Joshua Kimmich,Germany
Leon Goretzka,Germany
Robert Andrich,Germany
Alexander Pavlović,Germany
Assan Ouedraogo,Germany
Felix Nmecha,Germany
Angelo Stiller,Germany
Nico Schlotterbeck,Germany
Jonathan Tah,Germany
David Raum,Germany
Malick Thiaw,Germany
Waldemar Anton,Germany
Robin Koch,Germany
Maximilian Mittelstädt,Germany
Josip Stanišić,Germany
Marc-André ter Stegen,Germany
Oliver Baumann,Germany
Alexander Nübel,Germany
Kylian Mbappé,France
Ousmane Dembélé,France
Bradley Barcola,France
Michael Olise,France
Désiré Doué,France
Randal Kolo Muani,France
Christopher Nkunku,France
Aurélien Tchouaméni,France
Adrien Rabiot,France
Warren Zaïre-Emery,France
Khéphren Thuram,France
Eduardo Camavinga,France
N'Golo Kanté,France
Maghnes Akliouche,France
Rayan Cherki,France
William Saliba,France
Ibrahima Konaté,France
Jules Koundé,France
Lucas Hernández,France
Théo Hernández,France
Malo Gusto,France
Lucas Digne,France
Dayot Upamecano,France
Mike Maignan,France
Lucas Chevalier,France
Brice Samba,France
Mohamed Salah,Egypt
Omar Marmoush,Egypt
Mostafa Mohamed,Egypt
Zizo,Egypt
Trezeguet,Egypt
Emam Ashour,Egypt
Hamdy Fathy,Egypt
Mohamed Shehata,Egypt
Mohamed Elneny,Egypt
Ahmed Hegazi,Egypt
Mohamed Ismail,Egypt
Yasser Ibrahim,Egypt
Hossam Abdelmaguid,Egypt
Mohamed Hany,Egypt
Ramy Rabia,Egypt
Mohamed El Shenawy,Egypt
Ahmed El Shenawy,Egypt
Mohamed Sobhy,Egypt
Mostafa Shobeir,Egypt
Jonathan David,Canada
Alphonso Davies,Canada
Cyle Larin,Canada
Liam Millar,Canada
Jayden Nelson,Canada
Tani Oluwaseyi,Canada
Jacob Shaffelburg,Canada
Rayan Elloumi,Canada
Thelonius Bair,Canada
Jacen Russell-Rowe,Canada
Marcelo Flores,Canada
Stephen Eustáquio,Canada
Ismaël Koné,Canada
Jonathan Osorio,Canada
Ali Ahmed,Canada
Mathieu Choinière,Canada
Nathan Saliba,Canada
Jeevan Badwal,Canada
Junior Hoilett,Canada
Moïse Bombito,Canada
Derek Cornelius,Canada
Luc de Fougerolles,Canada
Jamie Knight-Lebel,Canada
Alfie Jones,Canada
Kamal Miller,Canada
Richie Laryea,Canada
Joel Waterman,Canada
Sam Adekugbe,Canada
Maxime Crépeau,Canada
Dayne St. Clair,Canada
James Pantemis,Canada
Tom McGill,Canada
Luka Gavran,Canada
Milan Borjan,Canada
Marko Arnautović,Austria
Christoph Baumgartner,Austria
Patrick Wimmer,Austria
Michael Gregoritsch,Austria
Marco Grüll,Austria
Marcel Sabitzer,Austria
Konrad Laimer,Austria
Romano Schmid,Austria
Xaver Schlager,Austria
Nicolas Seiwald,Austria
David Alaba,Austria
Kevin Danso,Austria
Philipp Lienhart,Austria
Alexander Schlager,Austria
Patrick Pentz,Austria
Nikolas Polster,Austria
Milos Degenek,Australia
Aziz Behich,Australia
Nathaniel Atkinson,Australia
Kye Rowles,Australia
Trent Sainsbury,Australia
Jackson Irvine,Australia
Keanu Baccus,Australia
Cammy Devlin,Australia
Connor Metcalfe,Australia
Riley McGree,Australia
Ajdin Hrustic,Australia
Joean Ballard,Australia
Ryan Teague,Australia
Nestory Irankunda,Australia
Martin Boyle,Australia
Noah Botic,Australia
Nicolas Milanovic,Australia
Mohamed Toure,Australia
Zack Sapsford,Australia
Camilo Vargas,Colombia
Kevin Mier,Colombia
David Ospina,Colombia
Daniel Muñoz,Colombia
Jhon Lucumí,Colombia
Davinson Sánchez,Colombia
Carlos Cuesta,Colombia
Johan Mojica,Colombia
Yerry Mina,Colombia
Yerson Mosquera,Colombia
Richard Ríos,Colombia
James Rodríguez,Colombia
Jefferson Lerma,Colombia
Jorge Carrascal,Colombia
Kevin Castaño,Colombia
Luis Díaz,Colombia
Rafael Borré,Colombia
Luis Suárez,Colombia
Jhon Arias,Colombia
Juan Fernando Quintero,Colombia
Yassine Bounou,Morocco
Munir El Kajoui,Morocco
El Mehdi Al Harrar,Morocco
Achraf Hakimi,Morocco
Noussair Mazraoui,Morocco
Nayef Aguerd,Morocco
Abdelhamid Ait Boudlal,Morocco
Anass Salah-Eddine,Morocco
Mohamed Chibi,Morocco
Romain Saiss,Morocco
Jawad El Yamiq,Morocco
Adam Masina,Morocco
Youssef Belammari,Morocco
Bilal El Khannouss,Morocco
Eliesse Ben Seghir,Morocco
Amir Richardson,Morocco
Oussama Targhalline,Morocco
Azzedine Ounahi,Morocco
Sofyan Amrabat,Morocco
Brahim Diaz,Morocco
Ayoub El Kaabi,Morocco
Youssef En-Nesyri,Morocco
Hakim Ziyech,Morocco
Abde Ezzalzouli,Morocco
